SOC2digit,Occupation,Occupation,Empl(PlaceofWork),Probability,Order
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Public Relations Specialists,Public Relations Specialists (27-3031),401.5930417,0.18,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Radio and Television Announcers,Radio and Television Announcers (27-3011),25.94583311,0.1,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Radio Operators,Radio Operators (27-4013),1.048232578,0.98,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Reporters and Correspondents,Reporters and Correspondents (27-3022),33.21202484,0.11,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Set and Exhibit Designers,Set and Exhibit Designers (27-1027),20.26233921,0.0055,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Sound Engineering Technicians,Sound Engineering Technicians (27-4014),9.805260809,0.13,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Technical Writers,Technical Writers (27-3042),56.91856351,0.89,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)","Umpires, Referees, and Other Sports Officials","Umpires, Referees, and Other Sports Officials (27-2023)",52.05541803,0.98,3
"Arts, Design, Entertainment, Sports, and Media (27-0000)",Writers and Authors,Writers and Authors (27-3043),208.503581,0.038,3
Management (11-0000),Administrative services managers,Administrative Services Managers (11-3011),469.0575957,0.73,4
Management (11-0000),Advertising and Promotions Managers,Advertising and Promotions Managers (11-2011),26.6054724,0.039,4
Management (11-0000),Architectural and Engineering Managers,Architectural and Engineering Managers (11-9041),211.9767727,0.017,4
Management (11-0000),Chief Executives,Chief Executives (11-1011),426.2904665,0.015,4
Management (11-0000),Compensation and Benefits Managers,Compensation and Benefits Managers (11-3111),21.52772452,0.96,4
Management (11-0000),Computer and Information Systems Managers,Computer and Information Systems Managers (11-3021),530.8736491,0.035,4
Management (11-0000),Construction Managers,Construction Managers (11-9021),1083.495963,0.071,4
Management (11-0000),"Education Administrators, Elementary and Secondary School","Education Administrators, Elementary and Secondary School (11-9032)",690.8896911,0.0046,4
Management (11-0000),"Education Administrators, Postsecondary","Education Administrators, Postsecondary (11-9033)",196.12004,0.01,4
Management (11-0000),"Education Administrators, Preschool and Childcare Center/Program","Education Administrators, Preschool and Childcare Center/Program (11-9031)",165.9549922,0.015,4
Management (11-0000),Emergency Management Directors,Emergency Management Directors (11-9161),13.04863501,0.003,4
Management (11-0000),"Farmers, Ranchers, and Other Agricultural Managers","Farmers, Ranchers, and Other Agricultural Managers (11-9013)",626.8882755,0.047,4
Management (11-0000),Financial Managers,Financial Managers (11-3031),1038.035792,0.069,4
Management (11-0000),Food Service Managers,Food Service Managers (11-9051),399.9624045,0.083,4
Management (11-0000),Gaming Managers,Gaming Managers (11-9071),11.89787324,0.091,4
Management (11-0000),General and Operations Managers,General and Operations Managers (11-1021),4422.264998,0.16,4
Management (11-0000),Human Resources Managers,Human Resources Managers (11-3121),243.4770503,0.0055,4
Management (11-0000),Industrial Production Managers,Industrial Production Managers (11-3051),193.9664424,0.03,4
Management (11-0000),Lodging Managers,Lodging Managers (11-9081),79.94776639,0.0039,4
Management (11-0000),"Managers, All Other","Managers, All Other (11-9199)",1847.086157,0.25,4
Management (11-0000),Marketing Managers,Marketing Managers (11-2021),319.772991,0.014,4
Management (11-0000),Medical and Health Services Managers,Medical and Health Services Managers (11-9111),893.7388875,0.0073,4
Management (11-0000),Natural Sciences Managers,Natural Sciences Managers (11-9121),84.24891252,0.018,4
Management (11-0000),Postmasters and mail superintendents,Postmasters and Mail Superintendents (11-9131),31.32024718,0.75,4
Management (11-0000),"Property, Real Estate, and Community Association Managers","Property, Real Estate, and Community Association Managers (11-9141)",560.6291805,0.81,4
Management (11-0000),Public Relations and Fundraising Managers,Public Relations and Fundraising Managers (11-2031),135.3227688,0.015,4
Management (11-0000),Purchasing Managers,Purchasing Managers (11-3061),110.0632889,0.03,4
Management (11-0000),Sales Managers,Sales Managers (11-2022),613.5460309,0.013,4
